Estado,Municipio,Hasta 1.99,2.00 a 2.60,2.61 a 3.99,4.00 a 6.99,7.00 a 10.99,11.00 en adelante,Total general,mes,anio
Aguascalientes,Aguascalientes,19329,6499,9350,7998,4037,2116,49329,4,2014
Aguascalientes,Asientos,146,37,198,193,51,49,674,4,2014
Aguascalientes,Calvillo,825,106,83,18,7,1,1040,4,2014
Aguascalientes,Cosío,100,81,61,10,7,1,260,4,2014
Aguascalientes,El Llano,135,47,23,4,2,1,212,4,2014
Aguascalientes,Jesús María,1653,398,693,436,123,67,3370,4,2014
Aguascalientes,Pabellón de Arteaga,582,78,57,29,4,2,752,4,2014
Aguascalientes,Rincón de Romos,443,131,381,189,28,11,1183,4,2014
Aguascalientes,San Francisco de los Romo,948,394,699,601,170,117,2929,4,2014
Aguascalientes,San José de Gracia,18,1,,1,,,20,4,2014
Aguascalientes,Tepezalá,122,103,93,59,28,31,436,4,2014
Baja California,Ensenada,7076,3476,4555,2908,1202,1122,20339,4,2014
Baja California,Mexicali,11634,7215,8956,7911,3995,3698,43409,4,2014
Baja California,Playas de Rosarito,1448,698,831,445,181,98,3701,4,2014
Baja California,Tecate,2363,1148,1394,955,661,390,6911,4,2014
Baja California,Tijuana,32948,18467,23425,14243,7041,6014,102138,4,2014
Baja California Sur,Comondú,1237,197,250,139,71,25,1919,4,2014
Baja California Sur,La Paz,4189,1517,1934,1521,1128,952,11241,4,2014
Baja California Sur,Loreto,283,99,144,105,46,18,695,4,2014
Baja California Sur,Los Cabos,5046,1943,3575,2871,1002,670,15107,4,2014
Baja California Sur,Mulegé,915,287,386,602,323,234,2747,4,2014
Campeche,Calakmul,16,,,2,,,18,4,2014
Campeche,Calkiní,453,128,39,34,27,2,683,4,2014
Campeche,Campeche,6416,2276,3096,4210,2544,1287,19829,4,2014
Campeche,Candelaria,31,10,24,,1,,66,4,2014
Campeche,Carmen,4810,1479,2633,3505,3684,4309,20420,4,2014
Campeche,Champotón,588,209,224,147,40,29,1237,4,2014
Campeche,Escárcega,290,34,60,50,33,7,474,4,2014
Campeche,Hecelchakán,131,113,14,11,3,,272,4,2014
Campeche,Hopelchén,111,24,17,2,1,10,165,4,2014
Campeche,Palizada,33,12,3,,,1,49,4,2014
Campeche,Tenabo,238,30,10,5,2,1,286,4,2014
Chiapas,Acacoyagua,10,4,9,3,,,26,4,2014
Chiapas,Acala,43,7,13,1,,,64,4,2014
Chiapas,Acapetahua,49,54,46,18,8,8,183,4,2014
Chiapas,Altamirano,50,12,5,2,4,1,74,4,2014
